,Score,Accuracy,,Seq,Rows,Train Size,,,,,,,
0,-0.607013367,0.584666667,,1,"10,000",0.25,,,,,,,
1,-0.525228451,0.594888889,,1,"10,000",0.3,,,,,,,
2,-0.45258705,0.612666667,,1,"10,000",0.35,,,,,,,
3,-0.364271241,0.626444444,,1,"10,000",0.4,,,,,,,
4,-0.173051089,0.647333333,,1,"10,000",0.45,,,,,,,
5,-0.175236756,0.646888889,,1,"10,000",0.5,,,,,,,
6,-0.595891904,0.578222222,,1,"20,000",0.25,,,,,,,
7,-0.493212552,0.594,,1,"20,000",0.3,,,,,,,
8,-0.445225023,0.612222222,,1,"20,000",0.35,,,,,,,
9,-0.346503303,0.625777778,,1,"20,000",0.4,,,,,,,
10,-0.19472452,0.64,,1,"20,000",0.45,,,,,,,
11,-0.178204962,0.650666667,,1,"20,000",0.5,,,,,,,
12,-0.584233225,0.580888889,,1,"30,000",0.25,,,,,,,
13,-0.502223602,0.592444444,,1,"30,000",0.3,,,,,,,
14,-0.415626197,0.612222222,,1,"30,000",0.35,,,,,,,
15,-0.289273153,0.625777778,,1,"30,000",0.4,,,,,,,
16,-0.18079981,0.643333333,,1,"30,000",0.45,,,,,,,
17,-0.157339728,0.651555556,,1,"30,000",0.5,,,,,,,
18,-0.584602895,0.583333333,,1,"40,000",0.25,,,,,,,
19,-0.460427577,0.589555556,,1,"40,000",0.3,,,,,,,
20,-0.390461743,0.611777778,,1,"40,000",0.35,,,,,,,
21,-0.362971899,0.628222222,,1,"40,000",0.4,,,,,,,
22,-0.164147699,0.644666667,,1,"40,000",0.45,,,,,,,
23,-0.193346719,0.651333333,,1,"40,000",0.5,,,,,,,
24,-0.632893304,0.586666667,,1,"50,000",0.25,,,,,,,
25,-0.502555584,0.596222222,,1,"50,000",0.3,,,,,,,
26,-0.444668542,0.610444444,,1,"50,000",0.35,,,,,,,
27,-0.373564667,0.626,,1,"50,000",0.4,,,,,,,
28,-0.188762738,0.644666667,,1,"50,000",0.45,,,,,,,
29,-0.205901073,0.653777778,,1,"50,000",0.5,,,,,,,
30,-0.603140237,0.588444444,,1,"60,000",0.25,,,,,,,
31,-0.572854906,0.593111111,,1,"60,000",0.3,,,,,,,
32,-0.472753383,0.606222222,,1,"60,000",0.35,,,,,,,
33,-0.381878595,0.63,,1,"60,000",0.4,,,,,,,
34,-0.185879271,0.644666667,,1,"60,000",0.45,,,,,,,
35,-0.2035897,0.646444444,,1,"60,000",0.5,,,,,,,
36,-0.638638532,0.583111111,,1,"70,000",0.25,,,,,,,
37,-0.543377174,0.596,,1,"70,000",0.3,,,,,,,
38,-0.43848345,0.616,,1,"70,000",0.35,,,,,,,
39,-0.326540068,0.625555556,,1,"70,000",0.4,,,,,,,
40,-0.209457099,0.641555556,,1,"70,000",0.45,,,,,,,
41,-0.183000668,0.652444444,,1,"70,000",0.5,,,,,,,
42,-0.627962441,0.582666667,,1,"80,000",0.25,,,,,,,
43,-0.536047671,0.596888889,,1,"80,000",0.3,,,,,,,
44,-0.39082866,0.607555556,,1,"80,000",0.35,,,,,,,
45,-0.339637698,0.628444444,,1,"80,000",0.4,,,,,,,
46,-0.203521491,0.644888889,,1,"80,000",0.45,,,,,,,
47,-0.207395877,0.645111111,,1,"80,000",0.5,,,,,,,
48,-0.60005494,0.587333333,,1,"90,000",0.25,,,,,,,
49,-0.516463664,0.591333333,,1,"90,000",0.3,,,,,,,
50,-0.435161999,0.611777778,,1,"90,000",0.35,,,,,,,
51,-0.317438725,0.632222222,,1,"90,000",0.4,,,,,,,
52,-0.17433026,0.646222222,,1,"90,000",0.45,,,,,,,
53,-0.180048297,0.650666667,,1,"90,000",0.5,,,,,,,
54,-0.611394049,0.576444444,,1,"100,000",0.25,,,,,,,
55,-0.517067023,0.592222222,,1,"100,000",0.3,,,,,,,
56,-0.468663911,0.610888889,,1,"100,000",0.35,,,,,,,
57,-0.371363522,0.620444444,,1,"100,000",0.4,,,,,,,
58,-0.180237606,0.639555556,,1,"100,000",0.45,,,,,,,
59,-0.182056555,0.652888889,,1,"100,000",0.5,,,,,,,
60,-0.57737696,0.586222222,,1,"110,000",0.25,,,,,,,
61,-0.54734891,0.590222222,,1,"110,000",0.3,,,,,,,
62,-0.404561733,0.614222222,,1,"110,000",0.35,,,,,,,
63,-0.298645993,0.622222222,,1,"110,000",0.4,,,,,,,
64,-0.170537014,0.636888889,,1,"110,000",0.45,,,,,,,
65,-0.168511558,0.652888889,,1,"110,000",0.5,,,,,,,
66,-0.583997864,0.582666667,,1,"120,000",0.25,,,,,,,
67,-0.519442174,0.593111111,,1,"120,000",0.3,,,,,,,
68,-0.422051335,0.607333333,,1,"120,000",0.35,,,,,,,
69,-0.349076259,0.626222222,,1,"120,000",0.4,,,,,,,
70,-0.214436078,0.637555556,,1,"120,000",0.45,,,,,,,
71,-0.183098826,0.657111111,,1,"120,000",0.5,,,,,,,
72,-0.615154492,0.585555556,,1,"130,000",0.25,,,,,,,
73,-0.477974799,0.589777778,,1,"130,000",0.3,,,,,,,
74,-0.440334325,0.607777778,,1,"130,000",0.35,,,,,,,
75,-0.319940353,0.628666667,,1,"130,000",0.4,,,,,,,
76,-0.193592543,0.641555556,,1,"130,000",0.45,,,,,,,
77,-0.19919686,0.655777778,,1,"130,000",0.5,,,,,,,
78,-0.611958073,0.582444444,,1,"140,000",0.25,,,,,,,
79,-0.505993868,0.592,,1,"140,000",0.3,,,,,,,
80,-0.428200486,0.616,,1,"140,000",0.35,,,,,,,
81,-0.299270215,0.629333333,,1,"140,000",0.4,,,,,,,
82,-0.193384317,0.642,,1,"140,000",0.45,,,,,,,
83,-0.186848033,0.652,,1,"140,000",0.5,,,,,,,
84,-0.606741979,0.579555556,,1,"150,000",0.25,,,,,,,
85,-0.467241494,0.594,,1,"150,000",0.3,,,,,,,
86,-0.429906156,0.613111111,,1,"150,000",0.35,,,,,,,
87,-0.361646808,0.629333333,,1,"150,000",0.4,,,,,,,
88,-0.173847732,0.643555556,,1,"150,000",0.45,,,,,,,
89,-0.198106375,0.647333333,,1,"150,000",0.5,,,,,,,
90,-0.596666069,0.581111111,,1,"160,000",0.25,,,,,,,
91,-0.53208154,0.592666667,,1,"160,000",0.3,,,,,,,
92,-0.427427504,0.602444444,,1,"160,000",0.35,,,,,,,
93,-0.340554344,0.620222222,,1,"160,000",0.4,,,,,,,
94,-0.190308904,0.639111111,,1,"160,000",0.45,,,,,,,
95,-0.166731601,0.647777778,,1,"160,000",0.5,,,,,,,
96,-0.632694471,0.581777778,,1,"170,000",0.25,,,,,,,
97,-0.568184592,0.589333333,,1,"170,000",0.3,,,,,,,
98,-0.412693745,0.612222222,,1,"170,000",0.35,,,,,,,
99,-0.358066585,0.627333333,,1,"170,000",0.4,,,,,,,
100,-0.194923983,0.638666667,,1,"170,000",0.45,,,,,,,
101,-0.221680665,0.649555556,,1,"170,000",0.5,,,,,,,
102,-0.633441333,0.585333333,,1,"180,000",0.25,,,,,,,
103,-0.494299808,0.592444444,,1,"180,000",0.3,,,,,,,
104,-0.428179823,0.614444444,,1,"180,000",0.35,,,,,,,
105,-0.352136994,0.620888889,,1,"180,000",0.4,,,,,,,
106,-0.203219799,0.646666667,,1,"180,000",0.45,,,,,,,
107,-0.222049795,0.643555556,,1,"180,000",0.5,,,,,,,
108,-0.630495782,0.573333333,,1,"190,000",0.25,,,,,,,
109,-0.537271417,0.596888889,,1,"190,000",0.3,,,,,,,
110,-0.434762998,0.620444444,,1,"190,000",0.35,,,,,,,
111,-0.343346933,0.626666667,,1,"190,000",0.4,,,,,,,
112,-0.199744793,0.637555556,,1,"190,000",0.45,,,,,,,
113,-0.169407755,0.652444444,,1,"190,000",0.5,,,,,,,
114,-0.590669642,0.59,,1,"200,000",0.25,,,,,,,
115,-0.558309033,0.593555556,,1,"200,000",0.3,,,,,,,
116,-0.435024711,0.612444444,,1,"200,000",0.35,,,,,,,
117,-0.352010177,0.629333333,,1,"200,000",0.4,,,,,,,
118,-0.172201788,0.635777778,,1,"200,000",0.45,,,,,,,
119,-0.176378895,0.658,,1,"200,000",0.5,,,,,,,
120,-0.6030254,0.586,,1,"210,000",0.25,,,,,,,
121,-0.556123979,0.591111111,,1,"210,000",0.3,,,,,,,
122,-0.415112822,0.613777778,,1,"210,000",0.35,,,,,,,
123,-0.326137072,0.631111111,,1,"210,000",0.4,,,,,,,
124,-0.18923999,0.645555556,,1,"210,000",0.45,,,,,,,
125,-0.17762171,0.650444444,,1,"210,000",0.5,,,,,,,
126,-0.647484889,0.583333333,,1,"220,000",0.25,,,,,,,
127,-0.508873636,0.596888889,,1,"220,000",0.3,,,,,,,
128,-0.422027653,0.610666667,,1,"220,000",0.35,,,,,,,
129,-0.340369904,0.629333333,,1,"220,000",0.4,,,,,,,
130,-0.197626966,0.642222222,,1,"220,000",0.45,,,,,,,
131,-0.14648069,0.650222222,,1,"220,000",0.5,,,,,,,
132,-0.636549795,0.580444444,,1,"230,000",0.25,,,,,,,
133,-0.571411991,0.587111111,,1,"230,000",0.3,,,,,,,
134,-0.437955307,0.608666667,,1,"230,000",0.35,,,,,,,
135,-0.336317845,0.628222222,,1,"230,000",0.4,,,,,,,
136,-0.18151992,0.643333333,,1,"230,000",0.45,,,,,,,
137,-0.176863516,0.653777778,,1,"230,000",0.5,,,,,,,
138,-0.684763228,0.588,,1,"240,000",0.25,,,,,,,
139,-0.514553435,0.593777778,,1,"240,000",0.3,,,,,,,
140,-0.490011541,0.611111111,,1,"240,000",0.35,,,,,,,
141,-0.303872451,0.631111111,,1,"240,000",0.4,,,,,,,
142,-0.170571727,0.640888889,,1,"240,000",0.45,,,,,,,
143,-0.185551976,0.650888889,,1,"240,000",0.5,,,,,,,
144,-0.609416249,0.579111111,,1,"250,000",0.25,,,,,,,
145,-0.531205667,0.591111111,,1,"250,000",0.3,,,,,,,
146,-0.399561841,0.605777778,,1,"250,000",0.35,,,,,,,
147,-0.397340119,0.625777778,,1,"250,000",0.4,,,,,,,
148,-0.159372396,0.642,,1,"250,000",0.45,,,,,,,
149,-0.235431766,0.647777778,,1,"250,000",0.5,,,,,,,
150,-0.66494059,0.586,,1,"260,000",0.25,,,,,,,
151,-0.54055154,0.596444444,,1,"260,000",0.3,,,,,,,
152,-0.435288402,0.614,,1,"260,000",0.35,,,,,,,
153,-0.34458236,0.627333333,,1,"260,000",0.4,,,,,,,
154,-0.199205716,0.642,,1,"260,000",0.45,,,,,,,
155,-0.151254505,0.652444444,,1,"260,000",0.5,,,,,,,
156,-0.583718722,0.589111111,,1,"270,000",0.25,,,,,,,
157,-0.561367817,0.595111111,,1,"270,000",0.3,,,,,,,
158,-0.411591497,0.610888889,,1,"270,000",0.35,,,,,,,
159,-0.352926268,0.623777778,,1,"270,000",0.4,,,,,,,
160,-0.18285042,0.642888889,,1,"270,000",0.45,,,,,,,
161,-0.221978286,0.652,,1,"270,000",0.5,,,,,,,
162,-0.6346235,0.584444444,,1,"280,000",0.25,,,,,,,
163,-0.483349924,0.592,,1,"280,000",0.3,,,,,,,
164,-0.395656556,0.612444444,,1,"280,000",0.35,,,,,,,
165,-0.358645492,0.625333333,,1,"280,000",0.4,,,,,,,
166,-0.196920449,0.642888889,,1,"280,000",0.45,,,,,,,
167,-0.200456785,0.653555556,,1,"280,000",0.5,,,,,,,
168,-0.582173563,0.584222222,,1,"290,000",0.25,,,,,,,
169,-0.538253593,0.593555556,,1,"290,000",0.3,,,,,,,
170,-0.467356218,0.608444444,,1,"290,000",0.35,,,,,,,
171,-0.347351809,0.631333333,,1,"290,000",0.4,,,,,,,
172,-0.163992285,0.644444444,,1,"290,000",0.45,,,,,,,
173,-0.169441579,0.656,,1,"290,000",0.5,,,,,,,
174,-0.627627551,0.584666667,,1,"300,000",0.25,,,,,,,
175,-0.51397163,0.594888889,,1,"300,000",0.3,,,,,,,
176,-0.375256962,0.607111111,,1,"300,000",0.35,,,,,,,
177,-0.33639557,0.625555556,,1,"300,000",0.4,,,,,,,
178,-0.175212139,0.639111111,,1,"300,000",0.45,,,,,,,
179,-0.192853601,0.655111111,,1,"300,000",0.5,,,,,,,
180,-0.621729962,0.574222222,,1,"310,000",0.25,,,,,,,
181,-0.563594331,0.596,,1,"310,000",0.3,,,,,,,
182,-0.4488905,0.611333333,,1,"310,000",0.35,,,,,,,
183,-0.342100045,0.631555556,,1,"310,000",0.4,,,,,,,
184,-0.188171896,0.641555556,,1,"310,000",0.45,,,,,,,
185,-0.190561108,0.652888889,,1,"310,000",0.5,,,,,,,
186,-0.606951604,0.578666667,,1,"320,000",0.25,,,,,,,
187,-0.584445531,0.589111111,,1,"320,000",0.3,,,,,,,
188,-0.407897809,0.614666667,,1,"320,000",0.35,,,,,,,
189,-0.356405732,0.625333333,,1,"320,000",0.4,,,,,,,
190,-0.190733363,0.640222222,,1,"320,000",0.45,,,,,,,
191,-0.181025048,0.651777778,,1,"320,000",0.5,,,,,,,
192,-0.607975028,0.579777778,,1,"330,000",0.25,,,,,,,
193,-0.561709881,0.596222222,,1,"330,000",0.3,,,,,,,
194,-0.453240151,0.613555556,,1,"330,000",0.35,,,,,,,
195,-0.309915718,0.624666667,,1,"330,000",0.4,,,,,,,
196,-0.205835934,0.644888889,,1,"330,000",0.45,,,,,,,
197,-0.181876426,0.648888889,,1,"330,000",0.5,,,,,,,
198,-0.591883374,0.580222222,,1,"340,000",0.25,,,,,,,
199,-0.519589089,0.594,,1,"340,000",0.3,,,,,,,
200,-0.432441276,0.604,,1,"340,000",0.35,,,,,,,
201,-0.347527945,0.623333333,,1,"340,000",0.4,,,,,,,
202,-0.202450135,0.646,,1,"340,000",0.45,,,,,,,
203,-0.186362269,0.658222222,,1,"340,000",0.5,,,,,,,
204,-0.580281281,0.579555556,,1,"350,000",0.25,,,,,,,
205,-0.581656078,0.588444444,,1,"350,000",0.3,,,,,,,
206,-0.479527843,0.611555556,,1,"350,000",0.35,,,,,,,
207,-0.366427723,0.625777778,,1,"350,000",0.4,,,,,,,
208,-0.211847315,0.639555556,,1,"350,000",0.45,,,,,,,
209,-0.140134359,0.654222222,,1,"350,000",0.5,,,,,,,
210,-0.602216346,0.584888889,,1,"360,000",0.25,,,,,,,
211,-0.508483699,0.590444444,,1,"360,000",0.3,,,,,,,
212,-0.376776111,0.611555556,,1,"360,000",0.35,,,,,,,
213,-0.320980524,0.628888889,,1,"360,000",0.4,,,,,,,
214,-0.208028957,0.645111111,,1,"360,000",0.45,,,,,,,
215,-0.199186596,0.652444444,,1,"360,000",0.5,,,,,,,
216,-0.632585408,0.576666667,,1,"370,000",0.25,,,,,,,
217,-0.506055686,0.595111111,,1,"370,000",0.3,,,,,,,
218,-0.42651351,0.608666667,,1,"370,000",0.35,,,,,,,
219,-0.345130458,0.628222222,,1,"370,000",0.4,,,,,,,
220,-0.182866749,0.641555556,,1,"370,000",0.45,,,,,,,
221,-0.218118429,0.648222222,,1,"370,000",0.5,,,,,,,
222,-0.599687723,0.580888889,,1,"380,000",0.25,,,,,,,
223,-0.53067648,0.598444444,,1,"380,000",0.3,,,,,,,
224,-0.420721389,0.606444444,,1,"380,000",0.35,,,,,,,
225,-0.380250343,0.627333333,,1,"380,000",0.4,,,,,,,
226,-0.206898119,0.634444444,,1,"380,000",0.45,,,,,,,
227,-0.208419456,0.650888889,,1,"380,000",0.5,,,,,,,
228,-0.669692578,0.581777778,,1,"390,000",0.25,,,,,,,
229,-0.547952824,0.587333333,,1,"390,000",0.3,,,,,,,
230,-0.451217541,0.606,,1,"390,000",0.35,,,,,,,
231,-0.353861928,0.627777778,,1,"390,000",0.4,,,,,,,
232,-0.166618175,0.642888889,,1,"390,000",0.45,,,,,,,
233,-0.174554085,0.649777778,,1,"390,000",0.5,,,,,,,
234,-0.59944763,0.584666667,,1,"400,000",0.25,,,,,,,
235,-0.547376264,0.598444444,,1,"400,000",0.3,,,,,,,
236,-0.45753432,0.611777778,,1,"400,000",0.35,,,,,,,
237,-0.317432675,0.625333333,,1,"400,000",0.4,,,,,,,
238,-0.220731311,0.642444444,,1,"400,000",0.45,,,,,,,
239,-0.132200588,0.658888889,,1,"400,000",0.5,,,,,,,
240,-0.660719502,0.579555556,,1,"410,000",0.25,,,,,,,
241,-0.513719504,0.593333333,,1,"410,000",0.3,,,,,,,
242,-0.4534253,0.607333333,,1,"410,000",0.35,,,,,,,
243,-0.298732892,0.625333333,,1,"410,000",0.4,,,,,,,
244,-0.191098006,0.641777778,,1,"410,000",0.45,,,,,,,
245,-0.198872021,0.654888889,,1,"410,000",0.5,,,,,,,
246,-0.597153663,0.587777778,,1,"420,000",0.25,,,,,,,
247,-0.474065419,0.592,,1,"420,000",0.3,,,,,,,
248,-0.40685078,0.608666667,,1,"420,000",0.35,,,,,,,
249,-0.327709035,0.628666667,,1,"420,000",0.4,,,,,,,
250,-0.158439536,0.649111111,,1,"420,000",0.45,,,,,,,
251,-0.186767177,0.651111111,,1,"420,000",0.5,,,,,,,
252,-0.61084062,0.583333333,,1,"430,000",0.25,,,,,,,
253,-0.552717026,0.592666667,,1,"430,000",0.3,,,,,,,
254,-0.452740215,0.607333333,,1,"430,000",0.35,,,,,,,
255,-0.311898997,0.632444444,,1,"430,000",0.4,,,,,,,
256,-0.169959353,0.646222222,,1,"430,000",0.45,,,,,,,
257,-0.169681571,0.648444444,,1,"430,000",0.5,,,,,,,
258,-0.618510498,0.579555556,,1,"440,000",0.25,,,,,,,
259,-0.556587933,0.592888889,,1,"440,000",0.3,,,,,,,
260,-0.461302363,0.614666667,,1,"440,000",0.35,,,,,,,
261,-0.30562926,0.631111111,,1,"440,000",0.4,,,,,,,
262,-0.189212961,0.643111111,,1,"440,000",0.45,,,,,,,
263,-0.133303365,0.649333333,,1,"440,000",0.5,,,,,,,
264,-0.633992175,0.584222222,,1,"450,000",0.25,,,,,,,
265,-0.574275685,0.592444444,,1,"450,000",0.3,,,,,,,
266,-0.430217902,0.613777778,,1,"450,000",0.35,,,,,,,
267,-0.324020983,0.626666667,,1,"450,000",0.4,,,,,,,
268,-0.170275667,0.634888889,,1,"450,000",0.45,,,,,,,
269,-0.219377636,0.651333333,,1,"450,000",0.5,,,,,,,
270,-0.668796184,0.581333333,,1,"460,000",0.25,,,,,,,
271,-0.555054525,0.596222222,,1,"460,000",0.3,,,,,,,
272,-0.379031359,0.612444444,,1,"460,000",0.35,,,,,,,
273,-0.340165851,0.623111111,,1,"460,000",0.4,,,,,,,
274,-0.193825841,0.643555556,,1,"460,000",0.45,,,,,,,
275,-0.191272629,0.651777778,,1,"460,000",0.5,,,,,,,
276,-0.606286852,0.585333333,,1,"470,000",0.25,,,,,,,
277,-0.479829134,0.597555556,,1,"470,000",0.3,,,,,,,
278,-0.438280717,0.608666667,,1,"470,000",0.35,,,,,,,
279,-0.292387676,0.631111111,,1,"470,000",0.4,,,,,,,
280,-0.203343562,0.640888889,,1,"470,000",0.45,,,,,,,
281,-0.206783197,0.654888889,,1,"470,000",0.5,,,,,,,
282,-0.657356431,0.580666667,,1,"480,000",0.25,,,,,,,
283,-0.573318084,0.592,,1,"480,000",0.3,,,,,,,
284,-0.426065978,0.61,,1,"480,000",0.35,,,,,,,
285,-0.339334699,0.627333333,,1,"480,000",0.4,,,,,,,
286,-0.171698291,0.644,,1,"480,000",0.45,,,,,,,
287,-0.195689343,0.650222222,,1,"480,000",0.5,,,,,,,
288,-0.619409243,0.581555556,,1,"490,000",0.25,,,,,,,
289,-0.473356078,0.592444444,,1,"490,000",0.3,,,,,,,
290,-0.368416181,0.611333333,,1,"490,000",0.35,,,,,,,
291,-0.324219354,0.624,,1,"490,000",0.4,,,,,,,
292,-0.171940829,0.642888889,,1,"490,000",0.45,,,,,,,
293,-0.169992984,0.652444444,,1,"490,000",0.5,,,,,,,
294,-0.631329423,0.58,,1,"500,000",0.25,,,,,,,
295,-0.53741225,0.588222222,,1,"500,000",0.3,,,,,,,
296,-0.417126844,0.605111111,,1,"500,000",0.35,,,,,,,
297,-0.32179484,0.628,,1,"500,000",0.4,,,,,,,
298,-0.208447591,0.646888889,,1,"500,000",0.45,,,,,,,
299,-0.193417043,0.654444444,,1,"500,000",0.5,,,,,,,
300,-0.64767755,0.581111111,,1,"510,000",0.25,,,,,,,
301,-0.554350656,0.589111111,,1,"510,000",0.3,,,,,,,
302,-0.469657852,0.611777778,,1,"510,000",0.35,,,,,,,
303,-0.330476827,0.632,,1,"510,000",0.4,,,,,,,
304,-0.159862365,0.64,,1,"510,000",0.45,,,,,,,
305,-0.168015868,0.651777778,,1,"510,000",0.5,,,,,,,
306,-0.618517939,0.586888889,,1,"520,000",0.25,,,,,,,
307,-0.504625387,0.589555556,,1,"520,000",0.3,,,,,,,
308,-0.377308181,0.609777778,,1,"520,000",0.35,,,,,,,
309,-0.351724691,0.631777778,,1,"520,000",0.4,,,,,,,
310,-0.196903609,0.641555556,,1,"520,000",0.45,,,,,,,
311,-0.200548478,0.650444444,,1,"520,000",0.5,,,,,,,
312,-0.609521941,0.580444444,,1,"530,000",0.25,,,,,,,
313,-0.447956525,0.590444444,,1,"530,000",0.3,,,,,,,
314,-0.409900171,0.614666667,,1,"530,000",0.35,,,,,,,
315,-0.309810227,0.628888889,,1,"530,000",0.4,,,,,,,
316,-0.149152134,0.648444444,,1,"530,000",0.45,,,,,,,
317,-0.178992946,0.652444444,,1,"530,000",0.5,,,,,,,
318,-0.685347604,0.577333333,,1,"540,000",0.25,,,,,,,
319,-0.480729866,0.591777778,,1,"540,000",0.3,,,,,,,
320,-0.392885504,0.607555556,,1,"540,000",0.35,,,,,,,
321,-0.304361997,0.633111111,,1,"540,000",0.4,,,,,,,
322,-0.177553334,0.638888889,,1,"540,000",0.45,,,,,,,
